**********************
Inicio de la transcripción de Windows PowerShell
Hora de inicio: 20250806144948
Nombre de usuario: AULA403-23\Administrador
Usuario RunAs: AULA403-23\Administrador
Nombre de la configuración: 
Máquina: AULA403-23 (Microsoft Windows NT 10.0.26100.0)
Aplicación host: C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe
Id. de proceso: 1636
PSVersion: 5.1.26100.4652
PSEdition: Desktop
PSCompatibleVersions: 1.0, 2.0, 3.0, 4.0, 5.0, 5.1.26100.4652
BuildVersion: 10.0.26100.4652
CLRVersion: 4.0.30319.42000
WSManStackVersion: 3.0
PSRemotingProtocolVersion: 2.3
SerializationVersion: 1.1.0.1
**********************
La transcripción ha comenzado. El archivo de salida es C:\Users\Aula403-23\Documents\E2\transcript.txt
PS C:\WINDOWS\system32> Get-Date

miércoles, 6 de agosto de 2025 02:49:59 p. m.


PS C:\WINDOWS\system32> Get-Location

Path
----
C:\WINDOWS\system32


PS C:\WINDOWS\system32> Clear-Host
PS C:\WINDOWS\system32> Get-Process

Handles  NPM(K)    PM(K)      WS(K)     CPU(s)     Id  SI ProcessName
-------  ------    -----      -----     ------     --  -- -----------
    291      17    15316      32112       0.48   9768  15 AppActions
    405      22    12488       7680       1.25  11996  15 ApplicationFrameHost
    131      10     1600        496      16.45   4600   0 conhost
    256      15    12180      30920      12.42  11476  15 conhost
    454      23    13100      12812       0.72   5416  15 CrossDeviceResume
    742      24     2436       2284      11.25    732   0 csrss
    651      22     2840       3728      14.73  15564  15 csrss
    632      24    21572      18896      11.50  15172  15 ctfmon
    213      18     3128      14836       0.03   2936  15 dllhost
    162      10     1908      14996       0.05  16048  15 dllhost
   1349      54   121696      86000     191.75  10840  15 dwm
   5853     169   178000     250500     108.92   7712  15 explorer
    207      17     9848       3296       0.17  12488  15 FileCoAuth
     42       7     1688        136       0.03    812   0 fontdrvhost
     42       9     3584       2484       0.34   7676  15 fontdrvhost
      0       0       60          8                 0   0 Idle
    184      11     2228       2080       0.30   2300   0 igfxCUIService
    319      16     3820       4764       0.69  13064  15 igfxEM
    153       9     1576       1268       0.09   1512   0 IntelCpHDCPSvc
    147       9     1536       1536       0.14   1812   0 IntelCpHeciSvc
    143      10     1424         16       0.02   3480   0 jhi_service
    546      26    16568      28408       0.66  16276  15 LockApp
   1606      27     9140      13976     265.61    968   0 lsass
      0       0     2324     809608     147.72   2316   0 Memory Compression
    537      29    34568        544       0.77  12320  15 Microsoft.SharePoint
    217      15     2976       4744       0.16  12316   0 MicrosoftEdgeUpdate
    508      18    13040      12788       6.28   4820   0 MpDefenderCoreService
    309      32   173332     160168      62.30   1488  15 msedge
    302      22    48484     101336       2.50   3296  15 msedge
    200      17    17348      32648       0.14   4880  15 msedge
    232      14     8124      21880       0.19   7224  15 msedge
    507      21    17748      41172       0.39   9016  15 msedge
    390      62   426276     397804      75.27   9340  15 msedge
   1206      37   226032     163428      79.55   9936  15 msedge
    356      21    79144      46724      21.81  12304  15 msedge
    298      24    67740     116068      23.80  13196  15 msedge
   1955      70   835812     254636     103.36  13520  15 msedge
    197       9     2216       2916       0.03  14968  15 msedge
    180      11    14528      11672       0.77  15032  15 msedge
    489      30    94568      65500       8.47  15628  15 msedge
    147       9     2156       1968       0.02   5768  15 msedgewebview2
    332      18    11304      23252       1.17   5956  15 msedgewebview2
    315      16    10976      14808       0.89   5972  15 msedgewebview2
   1132      45    34700      49708       5.73   6740  15 msedgewebview2
    146       9     2212       1900       0.06   8200  15 msedgewebview2
    169      10     8340       5480       0.25   8372  15 msedgewebview2
    554      23    53484      26876       1.53   8768  15 msedgewebview2
    283      22    57156      73128       8.70  10732  15 msedgewebview2
   1271      46    44968      74956       6.86  10968  15 msedgewebview2
    361      43   247540     161244      12.13  14360  15 msedgewebview2
    502      21    35948      32756       2.47  14860  15 msedgewebview2
    166      10     8296       4892       0.28  15260  15 msedgewebview2
    972     229   310228     172156   1,415.56   9644   0 MsMpEng
    991      43    31192      20724       3.28  12328  15 ms-teams
    143      13    34100        100       0.09   3732   0 mysqld
    526     417   647448       2164     323.14   4576   0 mysqld
    214      35     4152       2368       1.19   9188   0 NisSrv
    277      19     4592       5812       8.81   4092   0 OcsService
    214      17     4588       3672       1.52   5612  15 OcsSystray
    718      28    46344      13588     273.14   3420   0 OfficeClickToRun
    800      34    38112       7084       6.19   3440   0 OneApp.IGCC.WinService
    972      53    57256      29632       5.73   7560  15 OneDrive
   1152      49   171172     200640      23.16   1636  15 powershell
      0      14     7756      26748       7.94    124   0 Registry
    136       9     2036       2584       0.19    932  15 RuntimeBroker
    292      15     5412       4628       0.81   5164  15 RuntimeBroker
    360      18     5916       4760       0.64   6092  15 RuntimeBroker
    782      32    11980      39896       5.70   6156  15 RuntimeBroker
    636      28    12108      13884       1.00   9816  15 RuntimeBroker
    486      22    10944      25012       5.28  14348  15 RuntimeBroker
    190      10     2268      11480       0.08  13960   0 SearchFilterHost
    973      43    43712      83020      14.00  15276  15 SearchHost
    944      21    25140      23500      93.44   5340   0 SearchIndexer
    405      14     2940      13640       0.17  14796   0 SearchProtocolHost
    523      20     8700       9600      14.55   8932   0 SecurityHealthService
    178      11     1888       3644       0.13   5064  15 SecurityHealthSystray
    728      12     5580       6344     104.33    960   0 services
    804      34    26260       3856       1.64   7412  15 ShellExperienceHost
    411      20    11616       8256       0.58   4680  15 ShellHost
    761      22     7752      19708      10.67    300  15 sihost
     58       4     1160        248       0.25    556   0 smss
    432      22     6144       2392       1.47   2072   0 spoolsv
    979      42    66480      82156      21.30  12780  15 StartMenuExperienceHost
   1452      23    17064      28072      81.34    536   0 svchost
   1218      17     8756      12756     255.73   1080   0 svchost
    465      14     3192       4144      10.14   1120   0 svchost
    455      31     8900      11192     221.31   1320   0 svchost
    215      12     2768       5356       2.22   1436   0 svchost
    342      18     6156       9256      27.77   1456   0 svchost
    123      10     1600       1900       0.30   1544   0 svchost
    216      11     2700       6348       2.48   1588   0 svchost
    167       9     1732       3144       3.03   1652   0 svchost
    275      11     3700       7352      13.75   1820   0 svchost
    190       7     1896       2300       4.84   1940   0 svchost
    182       9     2200       4912       2.42   1956   0 svchost
    225      11     2364       4088       2.28   1964   0 svchost
    485      10     2316       5128       2.94   1972   0 svchost
    141      24     5440       3124       9.80   1980   0 svchost
    464      13    15156      10004      18.81   1988   0 svchost
    231      14     3724       3040       1.77   2068   0 svchost
    245      13   110472     101684   1,392.44   2112   0 svchost
    994      20     7552      13248      59.92   2120   0 svchost
    213       8     1376       1372       1.23   2168   0 svchost
    184      12     2004       5144       1.34   2208   0 svchost
    190      10     1940       3012       0.77   2308   0 svchost
    198      12     2312       3624       8.67   2336   0 svchost
